"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"days",180,27,1,0.305263157894737,0.929577464788732,71
"days",180,28,1,0.326315789473684,0.927536231884058,69
"days",180,29,1,0.294736842105263,0.930555555555556,72
"days",180,30,1,0.284210526315789,0.931506849315068,73
"days",180,31,1,0.252631578947368,0.934210526315789,76
"days",180,32,1,0.252631578947368,0.934210526315789,76
"days",180,33,1,0.421052631578947,0.916666666666667,60
"days",180,34,0.8,0.242105263157895,0.947368421052632,76
"days",180,35,1,0.315789473684211,0.928571428571429,70
"days",180,36,1,0.4,0.919354838709677,62
"days",180,37,1,0.421052631578947,0.916666666666667,60
"days",180,38,1,0.484210526315789,0.907407407407407,54
"days",180,39,1,0.378947368421053,0.921875,64
"days",180,40,1,0.147368421052632,0.941860465116279,86
"days",180,41,1,0.294736842105263,0.930555555555556,72
"days",180,42,1,0.536842105263158,0.897959183673469,49
"days",180,43,1,0.221052631578947,0.936708860759494,79
"days",180,44,1,0.315789473684211,0.928571428571429,70
"days",180,45,1,0.526315789473684,0.9,50
"days",180,46,1,0.210526315789474,0.9375,80
"days",180,47,1,0.389473684210526,0.920634920634921,63
